173612370,14,16,335,381.375,undefined,undefined,undefined,undefined,undefined,0,1,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
421939894,30,0,1990,NaN,3,3,-4,-3,3,0,0,-2,1,-1,1,1,-3,-1,-3,-2,-3,0,3,1,undefined
970987794,30,0,1596.9333333333334,NaN,2,0,1,1,0,0,0,2,2,0,-4,-4,undefined,4,-3,-2,-2,3,3,-2,undefined
459583484,28,2,2261.714285714286,5688,5,5,-3,-3,5,-3,-3,5,5,3,-2,-4,3,2,4,-5,-5,5,5,3,undefined
598294331,30,0,1532.9333333333334,NaN,-2,-1,-2,2,5,0,-1,-3,1,5,0,-1,0,2,5,-1,-4,0,3,5,undefined
294106994,25,5,2900.76,6012.4,4,4,3,3,5,3,4,2,3,5,1,2,4,4,5,-2,2,2,3,5,undefined
109156576,29,1,1528.6206896551723,2101,-4,-5,5,5,-5,2,-5,5,5,-5,-2,-5,5,undefined,-5,-5,-5,5,5,-5,undefined
425817410,23,7,1990.0434782608695,3812.285714285714,-2,-4,2,4,-4,-1,-1,1,3,-2,-1,-2,1,3,-4,-5,-5,4,5,-5,undefined
909997070,29,1,4067.2413793103447,889,2,2,1,3,5,-1,-1,0,2,5,3,1,0,-2,5,-2,-3,-2,-4,5,undefined
271935004,29,1,2056.4827586206898,616,2,2,2,2,0,-4,-3,-3,-3,-4,0,-1,-1,-2,undefined,-1,-2,-2,-3,-4,undefined
940734907,29,1,3368.9655172413795,3,-4,-5,4,5,1,-4,-5,4,5,-5,1,-3,3,5,-5,-5,-5,4,5,0,undefined
690793511,30,0,2114.1666666666665,NaN,-3,-5,4,5,-1,-4,0,-1,-1,4,2,0,-1,-1,-3,3,1,0,0,4,undefined
991889477,20,10,8339.1,1224.1,-3,-2,2,4,1,-3,-3,3,4,2,2,3,-1,2,3,4,3,-3,-1,4,undefined
943380708,28,2,2278.535714285714,1163,-2,-2,3,5,4,2,2,2,4,4,1,1,2,4,4,1,1,2,4,4,undefined
533995630,27,3,1932.4074074074074,3236.6666666666665,-1,0,0,3,-1,0,undefined,0,5,0,-3,-4,1,5,-4,-5,0,2,5,2,undefined
437172710,28,2,2324.3214285714284,48029.5,-3,-3,-3,-3,-3,0,3,3,3,2,3,3,0,0,2,0,2,0,0,0,undefined
838169456,30,0,1360.1666666666667,NaN,2,-5,2,3,-4,-3,-5,2,3,-4,-3,-5,2,3,-4,2,-5,2,3,-4,undefined
939462259,30,0,1755.6666666666667,NaN,0,0,0,0,1,-3,-3,-3,4,4,-2,-2,3,4,1,-4,-4,4,5,4,undefined
409367389,14,16,6380.642857142857,2557.5625,-3,2,2,2,2,-3,1,1,1,0,4,3,2,1,-3,-3,0,1,1,undefined,undefined
253545390,30,0,4747.1,NaN,-3,-2,2,2,1,-3,-1,2,2,3,-1,0,1,1,3,-4,-3,3,3,-2,undefined
269523456,29,1,2686.206896551724,1719,3,0,2,4,3,-3,-2,3,5,2,3,2,-1,2,4,4,3,-4,-2,4,undefined
576163621,29,1,1620.4827586206898,771,-2,-1,1,2,0,-1,-1,0,1,0,0,0,-1,0,-1,-3,-4,2,4,-2,undefined
601558186,29,1,2769.896551724138,9255,4,3,-2,-1,3,-5,-5,3,3,3,5,3,-5,-5,-3,2,-1,2,2,2,undefined
980850285,29,1,2325.9655172413795,5122,1,1,undefined,-1,-4,-2,-2,1,2,-4,1,1,-1,0,1,0,0,1,2,-4,undefined
684922656,14,16,8638.5,1520.5625,0,0,2,4,5,-4,-4,4,5,5,0,-2,4,5,5,4,3,-1,3,5,undefined
304600801,28,2,2617.0714285714284,4856.5,2,3,-4,-4,-5,5,5,-5,-5,-5,-3,-5,3,4,-5,-1,-2,1,2,-5,undefined
754305674,29,1,2436.9310344827586,2106,3,3,-1,-1,-1,1,1,-1,-1,-1,0,0,0,0,-1,-3,-3,3,4,-1,undefined
904458970,30,0,2001.6,NaN,-1,-1,1,1,1,-3,-3,2,2,1,-2,-1,2,2,1,1,1,1,1,1,undefined
834812826,30,0,3524.233333333333,NaN,-3,-4,2,4,-3,-3,-4,2,4,1,-5,-5,3,5,4,-5,-5,3,5,-3,undefined
839178205,30,0,1227.6,NaN,-3,-2,3,5,2,2,1,1,2,-3,-1,-1,3,4,-3,1,2,0,2,-1,undefined
621564787,29,1,1185.2758620689656,3927,-2,-2,2,3,-2,-1,-1,1,2,-2,0,0,1,2,-2,-1,-1,1,2,-2,undefined
234452377,30,0,2347.266666666667,NaN,-3,-3,-1,-2,5,4,3,-1,1,5,2,1,2,4,5,-3,-3,-2,-3,5,undefined
